anyo;fallecidos;siniestros;VS_S;parquevehicular;VP_S
1972;1792;26727;0,136669074;401114;-0,526428711
1973;1719;23480;0,068405632;417767;-0,518601795
1974;1269;18356;-0,039318999;431172;-0,51230144
1975;1054;16602;-0,076194292;445693;-0,505476564
1976;1079;17716;-0,052774066;466049;-0,495909237
1977;1071;19638;-0,012366817;514180;-0,473287648
1978;1207;19623;-0,012682171;589788;-0,43775186
1979;1309;21506;0,02690516;608630;-0,428896112
1980;1434;25606;0,113101683;797180;-0,340277541
1981;1552;33536;0,279818374;863038;-0,309324256
1982;1274;55272;0,73678609;912749;-0,285960067
1983;1363;47889;0,581569277;916360;-0,284262895
1984;1210;39207;0,399042883;930457;-0,2776373
1985;1049;30751;0,221267809;944564;-0,271007005
1986;1191;35268;0,316231149;962564;-0,262546998
1987;1198;32790;0,264134811;972042;-0,258092334
1988;1248;34226;0,294324618;985843;-0,251605859
1989;1465;37217;0,357206033;1018255;-0,236372206
1990;1587;39479;0,404761286;1074228;-0,210064875
1991;1602;40368;0,423451215;1174194;-0,163080817
1992;1700;43402;0,487236643;1356503;-0,077395518
1993;1760;44837;0,517405426;1476128;-0,021171722
1994;1762;44236;0,504770277;1508957;-0,00574208
1995;1890;50790;0,642558574;1678675;0,074025445
1996;1925;57775;0,789408017;1826137;0,143332641
1997;1883;52394;0,676280335;1988647;0,219712403
1998;1959;49890;0,623637385;2024510;0,236568027
1999;1655;47052;0,563972572;2145437;0,293403763
2000;1698;40926;0,435182352;2128855;0,285610216
2001;1562;44831;0,517279285;2176501;0,308003854
2002;1549;41734;0,452169374;2218062;0,32753754
2003;1703;44450;0,509269315;2195878;0,317111052
2004;1757;46620;0,554890402;2298620;0,365399831
2005;1626;46328;0,548751528;2351662;0,390329591
2006;1652;44839;0,517447473;2657892;0,534257808
2007;1645;53682;0,703358658;2824570;0,612596531
2008;1782;57087;0,77494382;3023050;0,705882207
2009;1508;56330;0,759028998;3139088;0,760420111
2010;1595;57746;0,788798334;3375523;0,871544651
2011;1573;62834;0,895766118;3654727;1,002770637
2012;1523;61791;0,873838563;3973913;1,152788179
2013;1623;73276;1,115293947;4263084;1,288698659
2014;1630;78445;1,223964637;4568664;1,432321375
2015;1646;79880;1,25413342;4751130;1,518080465
2016;1675;91711;1,50286295;4960945;1,616693595
2017;1483;94879;1,569465532;5190704;1,724680412
2018;1507;89311;1,452406448;5498895;1,869530299
2019;1617;89983;1,466534269;5718409;1,972701963
;STD;20226,23662;STD;1521174,181;
;PROM;47565,7234;PROM;2127657,851;
